temp	h	s	p kpa					
600	3537.6	6.5048	20000					
640	3648.1	6.6286	20000					
700	3809	6.7993	20000					
740	3914.1	6.9052	20000					
800	4069.7	7.0544	20000					
400	2330.7	4.7494	28000					
440	2812.6	5.4494	28000					
480	3028.5	5.7446	28000					
520	3192.3	5.9566	28000					
560	3333.7	6.1307	28000					
600	3463	6.2823	28000					
640	3584.8	6.4187	28000					
700	3758.4	6.6029	28000					
740	3870	6.7153	28000					
800	4033.4	6.872	28000					
900	4298.8	7.1084	28000					
72.69	2631.40	7.72	35.00					
80.00	2645.60	7.76	35.00					
120.00	2723.10	7.96	35.00					
160.00	2800.60	8.15	35.00					
200.00	2878.40	8.32	35.00					
240.00	2956.80	8.48	35.00					
280.00	3036.00	8.63	35.00					
320.00	3116.10	8.77	35.00					
360.00	3197.10	8.90	35.00					
400.00	3279.20	9.03	35.00					
440.00	3362.20	9.15	35.00					
500.00	3488.80	9.32	35.00					
99.63	2675.50	7.36	100.00					
100.00	2676.20	7.36	100.00					
120.00	2716.60	7.47	100.00					
160.00	2796.20	7.66	100.00					
200.00	2875.30	7.83	100.00					
240.00	2954.50	7.99	100.00					
280.00	3034.20	8.14	100.00					
320.00	3114.60	8.28	100.00					
360.00	3195.90	8.42	100.00					
400.00	3278.20	8.54	100.00					
440.00	3361.40	8.66	100.00					
500.00	3488.10	8.83	100.00					
133.55	2725.30	6.99	300.00					
160.00	2782.30	7.13	300.00					
200.00	2865.50	7.31	300.00					
240.00	2947.30	7.48	300.00					
280.00	3028.60	7.63	300.00					
320.00	3110.10	7.77	300.00					
360.00	3192.20	7.91	300.00					
400.00	3275.00	8.03	300.00					
440.00	3358.70	8.15	300.00					
500.00	3486.00	8.33	300.00					
600.00	3703.20	8.59	300.00					
164.97	2763.50	6.71	700.00					
180.00	2799.10	6.79	700.00					
200.00	2844.80	6.89	700.00					
240.00	2932.20	7.06	700.00					
280.00	3017.10	7.22	700.00					
320.00	3100.90	7.37	700.00					
360.00	3184.70	7.51	700.00					
400.00	3268.70	7.64	700.00					
440.00	3353.30	7.76	700.00					
500.00	3481.70	7.93	700.00					
600.00	3700.20	8.20	700.00					
700.00	3924.80	8.44	700.00					
198.32	2792.20	6.44	1500.00					
200.00	2796.80	6.45	1500.00					
240.00	2899.30	6.66	1500.00					
280.00	2992.70	6.84	1500.00					
320.00	3081.90	6.99	1500.00					
360.00	3169.20	7.14	1500.00					
400.00	3255.80	7.27	1500.00					
440.00	3342.50	7.39	1500.00					
500.00	3473.10	7.57	1500.00					
540.00	3560.90	7.68	1500.00					
600.00	3694.00	7.84	1500.00					
640.00	3783.80	7.94	1500.00					
233.90	2804.20	6.19	3000.00					
240.00	2824.30	6.23	3000.00					
280.00	2941.30	6.45	3000.00					
320.00	3043.40	6.62	3000.00					
360.00	3138.70	6.78	3000.00					
400.00	3230.90	6.92	3000.00					
440.00	3321.50	7.05	3000.00					
500.00	3456.50	7.23	3000.00					
540.00	3546.60	7.35	3000.00					
600.00	3682.30	7.51	3000.00					
640.00	3773.50	7.61	3000.00					
700.00	3911.70	7.76	3000.00					
275.64	2784.30	5.89	6000.00					
280.00	2804.20	5.93	6000.00					
320.00	2952.60	6.18	6000.00					
360.00	3071.10	6.38	6000.00					
400.00	3177.20	6.54	6000.00					
440.00	3277.30	6.69	6000.00					
500.00	3422.20	6.88	6000.00					
540.00	3517.00	7.00	6000.00					
600.00	3658.40	7.17	6000.00					
640.00	3752.60	7.27	6000.00					
700.00	3894.10	7.42	6000.00					
740.00	3989.20	7.52	6000.00					
311.06	2724.70	5.61	10000.00					
320.00	2781.30	5.71	10000.00					
360.00	2962.10	6.01	10000.00					
400.00	3096.50	6.21	10000.00					
440.00	3213.20	6.38	10000.00					
480.00	3321.40	6.53	10000.00					
520.00	3425.10	6.66	10000.00					
560.00	3526.00	6.79	10000.00					
600.00	3625.30	6.90	10000.00					
640.00	3723.70	7.01	10000.00					
700.00	3870.50	7.17	10000.00					
740.00	3968.10	7.27	10000.00					
336.75	2637.6	5.3717	14000					
360	2816.5	5.6602	14000					
400	3001.9	5.9448	14000					
440	3142.2	6.1474	14000					
480	3264.5	6.3143	14000					
520	3377.8	6.461	14000					
560	3486	6.5941	14000					
600	3591.1	6.7172	14000					
640	3694.1	6.8326	14000					
700	3846.2	6.9939	14000					
740	3946.7	7.0952	14000					
357.06	2509.1	5.1044	18000					
360	2564.5	5.1922	18000					
400	2887	5.6887	18000					
440	3062.8	5.9428	18000					
480	3203.2	6.1345	18000					
520	3378	6.296	18000					
560	3444.4	6.4392	18000					
600	3555.6	6.5696	18000					
640	3663.6	6.6905	18000					
700	3821.5	6.858	18000					
740	3925	6.9623	18000					
400	2639.4	5.2393	24000					
440	2923.4	5.6506	24000					
480	3102.3	5.895	24000					
520	3248.5	6.0842	24000					
560	3379	6.2448	24000					
600	3500.7	6.3875	24000					
640	3616.7	6.5174	24000					
700	3783.8	6.6947	24000					
740	3892.1	6.8038	24000					
800	4051.6	6.9567	24000					
400	2055.9	4.3239	32000					
440	2683	5.2327	32000					
480	2949.2	5.5968	32000					
520	3133.7	5.8357	32000					
560	3287.2	6.0246	32000					
600	3424.6	6.1858	32000					
640	3552.5	6.329	32000					
700	3732.8	6.5203	32000					
740	3847.8	6.6361	32000					
800	4015.1	6.7966	32000					
900	4285.1	7.0372	32000					
